STATION_LATITUDE,STATION_LONGITUDE,RAIN_LAST10MIN,TEMPERATURE_TC,HUMIDITY,PRESSURE_SURFACE,TIMEOBSERVATION
37.57168889,126.9614014,0.1,17,63.3,992.6,2016-04-16 18:00
37.60806806,126.9564117,0.1,16.6,61.8,986.8,2016-04-16 18:00
37.5698175,126.9783614,0,17,59.6,992.2,2016-04-16 18:00
37.57693889,127.0158972,0,16.2,57.9,995.3,2016-04-16 18:00
37.56991667,127.0051056,0,17.8,60,994.8,2016-04-16 18:00
37.58404722,127.0019028,0.1,17.6,53.5,994.5,2016-04-16 18:00
37.55893167,126.9748467,0,17.3,63.8,993,2016-04-16 18:00
37.55660833,126.9761389,0.1,16.8,64.1,987.9,2016-04-16 18:00
37.55344589,127.0101401,0.1,17.6,59.3,993.8,2016-04-16 18:00
37.56502139,127.0127897,0,17.5,59.5,993.6,2016-04-16 18:00
37.55972361,127.0061222,0,17.8,58.3,995.2,2016-04-16 18:00
37.56694444,126.9697222,0,17.2,64.7,992.2,2016-04-16 18:00
37.55666667,126.9936944,0,16,65.2,992.2,2016-04-16 18:00
37.56561111,127.0224833,0,17.7,58.8,993,2016-04-16 18:00
37.59855861,127.1001392,0.1,17.6,56.6,994.6,2016-04-16 18:00
37.58862417,127.0797222,0.1,16.9,56.5,997.3,2016-04-16 18:00
37.61080556,127.0774972,0,17.6,57.9,994.8,2016-04-16 18:00
37.60028333,127.0739028,0.1,18.2,56,998,2016-04-16 18:00
37.59697222,126.9639417,0.1,16.7,66.1,990.8,2016-04-16 18:00
37.48637222,126.9687728,0.1,17.5,61.5,995.1,2016-04-16 18:00
37.56004722,127.1544944,0,17.8,58.8,996.3,2016-04-16 18:00
37.48371944,126.9817417,0.1,17.2,64.1,994.5,2016-04-16 18:00
37.49474306,127.0150125,0.1,17.9,58.7,997.5,2016-04-16 18:00
37.47124333,127.0249153,0,16.7,63.5,992.5,2016-04-16 18:00
37.48867417,127.0668078,0.1,17.7,64.5,996.4,2016-04-16 18:00
37.56915833,126.9873083,0,17.8,55.5,993.1,2016-04-16 18:00
37.47883333,126.9902222,0.1,17.2,63.4,995.6,2016-04-16 18:00
37.58754167,127.08879,0.1,17.7,57.3,996,2016-04-16 18:00
37.573325,127.0044417,0.1,17.8,59.9,994.9,2016-04-16 18:00
37.64249444,127.0226583,0,17.6,55.1,995.9,2016-04-16 18:00
37.58368889,126.9701944,0,17.3,56.9,993.9,2016-04-16 18:00
37.49861194,126.9952947,0.1,17.3,59.3,996.2,2016-04-16 18:00
37.5706032,126.9724033,0,18,64.5,995,2016-04-16 18:00
37.497975,127.0573028,0,17.5,66.2,995.9,2016-04-16 18:00
37.59466667,127.0650833,0,17.9,57.9,998.8,2016-04-16 18:00
37.5501723,126.8670563,0.2,17,70.7,998.7,2016-04-16 18:00
37.48316389,127.060325,0.4,16.5,76.9,995,2016-04-16 18:10
37.47913333,127.0445583,0.4,16.4,74.3,996.8,2016-04-16 18:10
37.51625,127.0359444,0.3,16.6,68.9,991.5,2016-04-16 18:10
37.51117861,127.0242314,0.2,16.9,68.7,994.5,2016-04-16 18:10
37.50334139,127.0586336,0.3,16.5,63.9,994.3,2016-04-16 18:10
37.50350833,127.0667333,0.2,16.3,65.6,996,2016-04-16 18:10
37.49596139,127.0529111,0.3,16.6,67.3,996.3,2016-04-16 18:10
37.49001389,127.034745,0.5,15.9,72.7,993.6,2016-04-16 18:10
37.5103937,127.0576884,0.3,17.4,66.4,995.7,2016-04-16 18:10
37.51223472,127.0530692,0.3,17.2,60.9,995.7,2016-04-16 18:10
37.51865,127.0507081,0.3,16.8,67.8,995.4,2016-04-16 18:10
37.46361139,127.1055631,0.3,16.3,75.1,998.1,2016-04-16 18:10
37.5226125,127.0201108,0.3,16.7,66.7,996,2016-04-16 18:10
37.52218056,127.0331,0.3,17,67.6,995.2,2016-04-16 18:10
37.50194833,127.0419586,0.3,16.4,70,989.8,2016-04-16 18:10
37.49724861,127.0444664,0.3,16.7,68.8,993.1,2016-04-16 18:10
37.49356389,127.0301556,0.2,16.2,70.1,992.6,2016-04-16 18:10
37.48945056,127.0825044,0.4,16.4,68.5,996.4,2016-04-16 18:10
37.52103056,127.0572889,0.2,16.8,68.4,993.4,2016-04-16 18:10
37.53788611,127.1396583,0.2,17.2,62.9,995.2,2016-04-16 18:10
37.55251222,127.1536294,0,16.7,60.7,994,2016-04-16 18:10
37.54848611,127.1726722,0.2,17.3,63.6,996.7,2016-04-16 18:10
37.52987778,127.1322694,0.2,17.1,65.9,996.6,2016-04-16 18:10
37.52232222,127.1328528,0.2,16.7,69.7,996.7,2016-04-16 18:10
